url,人均价格,具体位置,口味,所属商区,推荐菜,星级标准,服务,环境,类别,评论量,餐厅名称,score
http://www.dianping.com/shop/93499468,180.0,丰科路丰台科技园万达广场金街3层3-317号,9.4,总部基地,"螃蟹,蛏子王,大虾",10,9.5,9.2,火锅,159.0,九万士多港式海鲜粥底火锅,100.0
http://www.dianping.com/shop/98583152,156.0,工人体育场北路66号底商,9.4,东四十条,"活鳗薄切,鳗鱼鱼头鸳鸯锅,鲜食活鳗",10,9.3,9.3,火锅,82.0,饕爷鳗用西川鳗鱼火锅,97.092
http://www.dianping.com/shop/68193557,520.0,光华路2号楼阳光100F座底商,9.3,大望路,"藜麦沙拉,菌火锅,自制养生酸奶",10,9.4,9.4,素菜,1604.0,叶叶菩提(大望路店),91.262
http://www.dianping.com/shop/15862001,55.0,朝阳北路首开东都汇B座一层,9.3,常营,"意式罗勒披萨,卷边金枪鱼之爱比萨,榴莲至尊披萨",10,9.4,9.2,西餐,3418.0,比萨到PizzaNow(常营店),89.596
http://www.dianping.com/shop/74597797,100.0,南四环西路76号7号楼304,9.3,花乡,"重八招牌手打牛丸（鲜肉现打）,重八独家秘制牛丸鸳鸯锅,嫩牛肉",10,9.4,9.2,火锅,2312.0,重八牛府(花乡奥莱店),88.748
http://www.dianping.com/shop/92752958,35.0,长阳路半岛V公馆3号楼底商二层211铺,9.3,长阳镇,"咖喱鸡排饭定食,咖喱猪排饭定食,炸猪排定食",10,9.4,9.3,日本菜,236.0,豚豚屋,88.686
http://www.dianping.com/shop/92711385,706.0,SOHO现代城A座2610,9.3,大望路,"刺身7拼,和牛寿司,鹅肝寿司",10,9.4,9.3,日本菜,142.0,桂寿司(soho现代城店),88.614
http://www.dianping.com/shop/101940354,450.0,光华路16号中国中期大厦A座3层,9.3,国贸,"帝王蟹,少女心哈根达斯,蓝鳍金枪鱼",10,9.4,9.3,自助餐,132.0,加勒比日式怀石海鲜精品火锅,88.606
http://www.dianping.com/shop/97340165,407.0,建国门外大街英皇集团中心2楼,9.3,建外大街,"网红惠灵顿牛排,法式鸭肝酱,餐前面包黄油碟",10,9.3,9.4,西餐,371.0,牛排家(建国门旗舰店),88.129
http://www.dianping.com/shop/57547188,162.0,望京东园一区120号新荟城购物中心1层,9.3,望京,"鲁西黄牛A级上脑,日式烧肉牛三角肉,鳗鱼手卷",10,9.3,9.4,水果生鲜,337.0,果蔬好超市(新荟城购物中心店),88.103
http://www.dianping.com/shop/98476064,106.0,龙湖时代天街西区9号楼205,9.3,黄村,"巴蜀嫩牛肉,晾杆鸭肠,毛肚双拼",10,9.3,9.4,火锅,260.0,唇辣号重庆老火锅(大兴龙湖店),88.044
http://www.dianping.com/shop/92456015,129.0,怀黄公路渤海镇三渡河村21号2门,9.3,怀柔区,"福龙福寿卷,五彩茄子,赛螃蟹",10,9.3,9.4,私房菜,140.0,迎旭私家菜,87.952
http://www.dianping.com/shop/67917756,870.0,三里屯南路通盈中心三层,9.3,三里屯,"鹅肝寿司,碳烤和牛,刺身混拼",10,9.4,9.2,日本菜,318.0,宝屋日料,87.22
http://www.dianping.com/shop/13871868,1060.0,将台西路9-3号,9.3,酒仙桥,"极品牡丹虾,爆烤特肥金枪鱼寿司,和牛眼肉",10,9.3,9.3,日本菜,1120.0,四叶寿司(将台西路店),87.175
http://www.dianping.com/shop/17892513,116.0,黄村兴丰大街西侧星城商厦6层,9.3,黄村,"招牌虾滑,捞派澳洲肥牛,番茄锅底",10,9.3,9.3,火锅,1000.0,海底捞火锅(星城商厦店),87.083
http://www.dianping.com/shop/73410505,413.0,建国门外大街16号3号楼底商W-4号,9.3,建外大街,"刺身拼盘,杏仁豆腐,芒果布丁",10,9.3,9.3,日本菜,726.0,萬葉海鲜炉端烧(建国门店),86.873
http://www.dianping.com/shop/17850299,60.0,南磨房路29-3旭捷大厦一层底商,9.3,劲松/潘家园,"意式罗勒披萨,金枪鱼之爱比萨,招牌BBQ烤翅",10,9.3,9.2,西餐,2646.0,比萨到PizzaNow(劲松店),86.816
http://www.dianping.com/shop/98727334,197.0,东三环北路恒安大厦3层303室,9.3,朝阳公园/团结湖,"酱烤鸡肉大葱,秘制小西红柿,烤五花肉",10,9.3,9.3,日本菜,206.0,豊岛二丁目居酒屋,86.474
http://www.dianping.com/shop/68173957,133.0,朝阳北路20号陆港城2号楼二层东侧,9.3,常营,"烤肠拼盘,经典牛肉汉堡,芝士土豆泥",10,9.3,9.3,西餐,193.0,五德酒场 The VIRTUE,86.464
http://www.dianping.com/shop/95378235,140.0,百子湾路29-31号,9.3,双井,"猪蹄,麻辣香翅,翡翠饺子",10,9.3,9.3,私房菜,102.0,榮·2921私厨,86.394
http://www.dianping.com/shop/32548618,55.0,安定门外大街甲82号隆和写字楼1层8号,9.3,安定门,"意大利罗勒牛肉比萨餐,榴莲至尊披萨,金枪鱼之爱披萨",10,9.3,9.2,西餐,1791.0,比萨到PizzaNow(安定门外店),86.16
http://www.dianping.com/shop/22643453,115.0,农大南路1号院1号楼上地华联中心4层,9.3,上地,"捞派麻辣滑牛肉,番茄锅底,基围虾",10,9.3,9.2,火锅,1524.0,海底捞火锅(上地华联店),85.956
http://www.dianping.com/shop/8902354,102.0,百子湾南二路百子园12号楼2603,9.3,百子湾,"延寿原味人参乌鸡汤,延寿鲍鱼养生参鸡汤,滋补鲍鱼乌鸡汤",10,9.3,9.2,韩国料理,568.0,延寿参鸡汤,85.223
http://www.dianping.com/shop/103545294,128.0,工体北路8号院三里屯SOHO6号商场内1-2层,9.3,朝阳公园/团结湖,"番茄锅底,招牌虾滑,牛油麻辣锅底",10,9.3,9.2,火锅,459.0,海底捞火锅(三里屯店),85.14
http://www.dianping.com/shop/18382559,419.0,鼓楼东大街71号,9.3,安定门,"紫寿司套餐,刺身拼盘,梅酒",10,9.3,9.2,日本菜,349.0,紫玉寿司,85.055
http://www.dianping.com/shop/107736403,108.0,驹子房路朝新嘉园东里五区18号楼,9.3,东坝,"苏尼特羔羊肉,秘制小料,木辛水水特色宽粉",10,9.3,9.2,火锅,196.0,木辛水水冰煮羊(东坝店),84.938
http://www.dianping.com/shop/93524004,183.0,团结湖北路2号北京电影机械研究所北门西侧,9.3,朝阳公园/团结湖,"大葱鸡肉串,烤香菇,三文鱼刺身",10,9.3,9.2,日本菜,76.0,明吉居酒屋,84.846
http://www.dianping.com/shop/76718022,139.0,观唐东路5号浩华宫东门,9.3,马泉营,"香肠拼盘,德式面包篮,德国烤猪肘",10,9.2,9.3,西餐,813.0,普兰达德国餐厅,84.75
http://www.dianping.com/shop/8018077,127.0,丰台北路36号华铁咨询大厦一层/二层,9.3,六里桥/丽泽桥,"捞派澳洲肥牛,阿根廷红虾,鸳鸯锅",10,9.2,9.2,火锅,2625.0,海底捞火锅(丰台北路万丰桥店),84.611
http://www.dianping.com/shop/27429555,130.0,蓝靛厂中路晨月园5号,9.3,远大路,"好客佳糖霜脆丝麦片,苹果很新鲜,紫菜包饭",10,9.2,9.3,水果生鲜,301.0,果蔬好(江南赋店),84.358
http://www.dianping.com/shop/92965251,442.0,西福寿里17号,9.3,什刹海,"A5肥牛,极上三筋,厚切牛舌",10,9.2,9.3,日本菜,79.0,万葉日式烧肉(后海店),84.188
http://www.dianping.com/shop/95358663,85.0,工人体育场北路三里屯soho5号商场B1层B1-525号,9.3,三里屯,"希腊酸奶鲜虾沙拉,意大利肉酱面,嫩香龙利鱼",10,9.2,9.2,西餐,1417.0,成全轻食,83.685
http://www.dianping.com/shop/92820522,88.0,三元东桥远洋新干线美食街23号,9.3,亮马桥/三元桥,"经典汉堡,炸货拼盘,精酿啤酒",10,9.3,9.1,西餐,252.0,啤丘BeerHill餐厅酒吧,83.453
http://www.dianping.com/shop/69104383,80.0,幸福二村39号楼1至2层39-22,9.3,工人体育场,"牛肉沙嗲碗沙拉BeefSatayBowl,嫩滑鸡肉三明治Chicken,鲜虾米纸卷",10,9.3,9.1,东南亚菜,156.0,ROLLBOX,83.379
http://www.dianping.com/shop/102547462,79.0,马家堡东路121号院7克拉7-27、7-28,9.3,马家堡/角门,"大虾金针菇,鱼豆腐,牛肉",10,9.3,9.1,烧烤,121.0,虎坊桥石锅烤肉(七克拉店),83.352
http://www.dianping.com/shop/32333630,153.0,南池子大街11号故宫东门旁,9.2,王府井/东单,"特选酥香嫩烤鸭,贝勒烤肉,宫廷小吃拼盘",10,9.2,9.3,北京菜,12363.0,四季民福烤鸭店(故宫店),82.889
http://www.dianping.com/shop/111955121,113.0,东坝中路金隅嘉品b1,9.3,东坝,"鳗鱼饭,三文鱼刺身,鹅肝寿司",10,9.2,9.2,日本菜,78.0,满寿司 いっぱい すし,82.659
http://www.dianping.com/shop/108322072,84.0,十里河桥西北角十里河文化园A座四层,9.3,十里河,"手切鲜羊后腿肉,极品羊排卷,呼伦贝尔极品羔羊腿肉",10,9.2,9.2,火锅,55.0,今儿明儿涮肉,82.641
http://www.dianping.com/shop/98896255,286.0,王府井大街王府中环西座408,9.3,王府井/东单,"鬼马虾胶,金屋藏娇,黄金泡饭",10,9.1,9.3,火锅,176.0,小红袍香港私房火锅料理(王府中环店),82.074
http://www.dianping.com/shop/94306392,312.0,永安东里甲3号,9.3,建外大街,"花胶海味浓鸡汤,招牌雪花牛肉,元祖奶冻",10,9.2,9.1,火锅,478.0,小红门港式海鲜火锅(永安里店),81.437
http://www.dianping.com/shop/3456277,218.0,东升乡马坊村永泰庄北路9号,9.2,清河,"烤全羊,酸奶,面筋",10,9.1,9.2,其他美食,13522.0,九十九顶毡房(清河店),80.06
http://www.dianping.com/shop/3596611,209.0,高碑店1118号惠河南街盛世龙源酒吧苑13号,9.3,十里堡,"竹荪,鲜活鲍鱼,送鲍鱼粥",10,9.1,9.1,火锅,993.0,银滩金汤·密味(四惠店),79.643
http://www.dianping.com/shop/75098357,128.0,五圈路总部基地盈坤世纪H座一层,9.2,总部基地,"手打鲜牛肉丸,吊龙,嫩肉",10,9.4,9.3,火锅,2302.0,聚焦鲜牛肉潮汕火锅,79.556
http://www.dianping.com/shop/5667533,431.0,靛厂路3号,9.2,六里桥/丽泽桥,"北京宴特色酱肉烤包子,自家手掰豆腐,北京宴自制酸奶",10,9.3,9.4,北京菜,2601.0,北京宴(总店),79.125
http://www.dianping.com/shop/93659299,116.0,朝外外交部南街联合大厦5层,9.2,朝外大街,"十八香小龙虾,鸳鸯锅底,蒜香龙虾",10,9.4,9.3,火锅,1055.0,红辣椒(朝外店),78.601
http://www.dianping.com/shop/101993556,111.0,永兴路7号院1号楼4F-25,9.2,大兴区,"招牌虾滑,牛油麻辣锅底,番茄锅底",10,9.4,9.3,火锅,194.0,海底捞火锅(龙湖大兴天街店),77.941
http://www.dianping.com/shop/103614070,561.0,建国路93号院17号楼102号商铺,9.2,大望路,"惠林顿茄盒配羊肚菌,笋干豆腐,餐前面包",10,9.4,9.3,素菜,96.0,席FEAST,77.866
http://www.dianping.com/shop/93227192,556.0,宣武门内大街临1号,9.2,西单,"藜麦沙拉,百合金瓜燕,乾坤一品菌王锅",10,9.3,9.4,素菜,731.0,叶叶菩提·道(西单店),77.692
http://www.dianping.com/shop/66303819,510.0,前门东大街前门23号院内,9.2,前门,"雪花匙仁,招牌牛骨原味锅,川椒麻辣乌鸡凤爪",10,9.3,9.4,火锅,571.0,温鼎府(潮汕牛肉火锅),77.569
http://www.dianping.com/shop/76086106,83.0,立水桥西路天通西苑一区南门南行20米东侧,9.3,天通苑,"精选手切五花肉,酸菜,口蘑",10,9.3,8.7,烧烤,531.0,和器石烹(天通苑店),77.554
http://www.dianping.com/shop/57547188,162.0,望京东园一区120号新荟城购物中心1层,9.2,望京,"鲁西黄牛A级上脑,日式烧肉牛三角肉,鳗鱼手卷",10,9.3,9.4,水果生鲜,338.0,果蔬好超市(新荟城购物中心店),77.391
http://www.dianping.com/shop/97187623,236.0,汽车博物馆东路盈坤世纪H座,9.2,总部基地,"真命天子卷,三文鱼刺身,烤鹅肝手握",10,9.3,9.4,日本菜,198.0,江户前寿司(盈坤世纪店),77.284
http://www.dianping.com/shop/69719009,256.0,西三环北路21号久凌大厦北楼二层（北外东门往南100米,9.2,紫竹桥,"鲍鱼,三文鱼,水果",10,9.2,9.1,自助餐,7904.0,第六季自助餐厅(西三环店),76.415
http://www.dianping.com/shop/83618384,59.0,西红门嘉悦广场2号楼负一层1315,9.2,西红门,"经典香草千层,裸蛋糕,拿破仑蛋糕",10,9.4,9.2,其他美食,180.0,彩味甜品,76.402
http://www.dianping.com/shop/37770315,102.0,中关村南大街2号华宇时尚购物中心夹层,9.2,魏公村,"手工牛肉丸,重八特色秘制小料,重八独家秘制牛丸鸳鸯锅",10,9.2,9.1,火锅,7736.0,重八牛府(小刀牛试店),76.286
http://www.dianping.com/shop/92615768,340.0,盈科中心工人体育场北路甲2号裙房一层106A单元,9.2,三里屯,"天妇罗虾拼盘,三文鱼大腹刺身,芥末章鱼",10,9.3,9.3,日本菜,751.0,米亭味自慢料理(盈科中心店),76.179
http://www.dianping.com/shop/17815134,624.0,朝阳公园路8号温泉路东,9.2,朝阳公园/团结湖,"海胆,鹅肝寿司,刺身拼盘",10,9.3,9.3,日本菜,749.0,本格寿司(朝阳公园店),76.178
http://www.dianping.com/shop/58320686,701.0,东四十三条50号,9.2,东四十条,"草饲安格斯带骨牛肋排,杏仁豆腐配冰糖亚达子,深红锦绣味碟",10,9.3,9.3,创意菜,645.0,DeepRed深红,76.098
http://www.dianping.com/shop/101942917,116.0,马家堡东路88号奇迹广场,9.2,洋桥/木樨园,"地瓜老肉片,自助小料,冰粉",10,9.3,9.3,火锅,588.0,重庆地瓜老火锅(洋桥店),76.054
http://www.dianping.com/shop/92466433,296.0,恒惠路建外soho西区10号楼一层底商1019B,9.2,国贸,"养生汤,四碟小菜,荔枝山珍脆锅巴",10,9.3,9.3,素菜,522.0,叶叶菩提花(建外店),76.004
http://www.dianping.com/shop/28576064,95.0,什刹海街道三不老胡同2号,9.3,什刹海,"炙烤牛肉,炙烤羊肉,烤金针菇",10,9.2,8.7,烧烤,1348.0,八旗烤肉(什刹海店),75.991
http://www.dianping.com/shop/91988160,336.0,建国路93号院19号楼1层115-116号,9.2,国贸,"养生汤,藜麦饭,水果",10,9.3,9.3,素菜,503.0,叶叶菩提·花(万达店),75.989
http://www.dianping.com/shop/95883028,962.0,科学院南路2号融科资讯中心A座一层103,9.2,中关村,"四葉刺身拼盘,星鳗整条,蓝鳍金枪鱼极品大腩刺身",10,9.3,9.3,日本菜,347.0,四叶寿司(中关村店),75.869
http://www.dianping.com/shop/90349360,101.0,西直门北大街32号枫蓝国际购物中心B1层,9.2,西直门/动物园,"火龙果煎饼,应季水果,海鲜",10,9.3,9.3,水果生鲜,335.0,果蔬好生活超市(枫蓝国际购物中心店),75.86
http://www.dianping.com/shop/102198900,118.0,世界之花假日广场4F-A-01、4F-A-02,9.2,,"招牌虾滑,捞派滑牛肉,捞派鸭肠",10,9.3,9.3,火锅,324.0,海底捞火锅(世界之花店),75.852
http://www.dianping.com/shop/97599948,382.0,建国路SOHO现代城A座3612号,9.2,大望路,"澳洲谷饲牛排,煎澳洲带子配白菜花泥鱼子酱,法式鸭肝批",10,9.3,9.3,西餐,182.0,KHLOE可洛伊,75.743
http://www.dianping.com/shop/97994408,267.0,东三环中路20号乐成中心Space3-8三层,9.2,双井,"串烤牛舌,综合生鱼片（梅）,大虾天妇罗",10,9.3,9.3,日本菜,163.0,米亭味自慢料理(乐成店),75.728
http://www.dianping.com/shop/93478681,1284.0,百子湾路16号百子园4B-102朝北底商,9.2,百子湾,"苏芙蕾,咖啡,马卡龙",10,9.3,9.3,面包甜点,159.0,Now Mansion闹公馆,75.725
http://www.dianping.com/shop/110317528,134.0,工人体育场东路甲18号中复大厦B1层西北角,9.2,三里屯,"大阪烧,好友团点赞黄金脆皮鸡翅,三文鱼腹刺身",10,9.3,9.3,日本菜,124.0,学一家日本料理,75.699
http://www.dianping.com/shop/32549182,110.0,大屯路安慧北里逸园20号楼底商,9.2,亚运村,"叫座儿软骨煲,牛骨汤锅底,爽滑嫩牛肉",10,9.3,9.2,火锅,2112.0,叫座儿鲜煲火锅(亚运村店),75.694
http://www.dianping.com/shop/107722694,250.0,亦庄荣华南路大族广场一层,9.2,亦庄,"招牌雪花牛肉,招牌佛跳墙锅,竹节虾",10,9.3,9.3,火锅,105.0,珍滋味港式粥火锅(亦庄店),75.684
http://www.dianping.com/shop/6179634,126.0,湖光中街甲六号望京港旅大厦二层,9.2,望京,"招牌虾滑,捞派澳洲肥牛,鸳鸯锅",10,9.3,9.2,火锅,1851.0,海底捞火锅(望京港旅店),75.494
http://www.dianping.com/shop/513282,126.0,来广营东路5号长岛澜桥别墅西门对面,9.2,马泉营,"安妮披萨,蘑菇汤,意大利肉酱面",10,9.3,9.2,西餐,1459.0,安妮意大利餐厅(香江花园店),75.193
http://www.dianping.com/shop/5493867,149.0,东四十条23号,9.2,东四十条,"烤鸭蘸碟,贝勒烤肉,秘制酥皮虾",10,9.1,9.1,北京菜,9140.0,四季民福烤鸭店(东四十条店),75.174
http://www.dianping.com/shop/65870600,716.0,高碑店古典家具街328号,9.2,高碑店,"百菇饭,草原牧歌,东坡素方",10,9.2,9.4,素菜,176.0,鸿禧嘉慧,75.078
http://www.dianping.com/shop/76840258,178.0,工体北路甲2号盈科中心A座裙房1层102及2层202室,9.2,三里屯,"招牌纽约经典牛肉芝士汉堡,墨西哥鲜虾塔可,BBQ美式猪肋排",10,9.3,9.2,西餐,1244.0,Cafe Ruhe 如何餐厅,75.029
http://www.dianping.com/shop/10338660,146.0,湖光北街南湖中园211号京客隆4层,9.2,望京,"烤鸭蘸碟,秘制酥皮虾,贝勒烤肉",10,9.1,9.2,北京菜,6925.0,四季民福烤鸭店(望京旺角店),75.005
http://www.dianping.com/shop/21663488,147.0,和平里西街21号北京商报1-2层,9.2,和平里,"素香嫩烤鸭,烤鸭蘸碟,秘制酥皮虾",10,9.1,9.1,北京菜,8666.0,四季民福烤鸭店(和平里店),74.81
http://www.dianping.com/shop/69937554,39.0,北土城东路馨筷子家宴东侧,9.2,太阳宫,"兰州素拉面,吉祥上上签,素拉面套餐",10,9.2,9.3,素菜,1659.0,百易素食素拉面(元大都店),74.686
http://www.dianping.com/shop/4172156,590.0,三里屯路太古里北区西座N4楼3层30号,9.2,三里屯,"法国鹅肝配,牛小排,大虾",10,9.2,9.3,烧烤,1608.0,尚水长廊铁板烧餐厅(三里屯太古里店),74.647
http://www.dianping.com/shop/22006893,100.0,华源一里3-4号楼底商,9.2,六里桥/丽泽桥,"羊蝎子麻辣,芝麻烧饼,三羊开泰",10,9.2,9.3,火锅,1341.0,老诚一锅(六里桥总店),74.442
http://www.dianping.com/shop/6011232,116.0,大屯北路312号金泉美食宫四层,9.2,亚运村,"招牌虾滑,捞派澳洲肥牛,捞派捞面",10,9.2,9.2,火锅,3281.0,海底捞火锅(大屯北路店),74.401
http://www.dianping.com/shop/93940086,80.0,顺迈金钻大厦商服20号2层,9.2,劲松/潘家园,"火炙佳吉鱼,三文鱼刺身,绿茶大福",10,9.3,9.2,日本菜,381.0,晓寿司(劲松店),74.367
http://www.dianping.com/shop/93179171,98.0,黄村龙河路97号时代龙和东门,9.2,黄村,"香家毛肚,一船鱼,翡翠虾滑",10,9.2,9.3,火锅,1195.0,香家火锅(黄村店),74.331
http://www.dianping.com/shop/97076790,108.0,安宁庄后街2号,9.2,清河,"饼子,炖鱼,嘎牙子鱼",10,9.3,9.2,东北菜,328.0,王老六铁锅炖鱼(西三旗店),74.327
http://www.dianping.com/shop/73553617,534.0,麦子店街三十九号Y108,9.2,亮马桥/三元桥,"刺身拼盘,金枪鱼大腩,杏仁豆腐",10,9.3,9.2,日本菜,320.0,一阳寿司,74.321
http://www.dianping.com/shop/5742062,117.0,望京街8号利星行广场奔驰展厅2层,9.2,望京,"奶油蘑菇汤,安妮比萨,意式肉酱千层面",10,9.3,9.1,西餐,2193.0,安妮意大利餐厅(望京店),74.228
http://www.dianping.com/shop/79587451,63.0,馨园一路2号院荣祥广场2层,9.2,顺义区,"手冲咖啡,曼特宁,耶加雪菲",10,9.3,9.2,咖啡厅,166.0,遇吉岛咖啡GROOVELANDCOFFEE(荣祥广场店),74.203
http://www.dianping.com/shop/67854895,132.0,前门大栅栏商业街18号,9.2,前门,"酥香嫩烤鸭,贝勒烤肉,老北京炸酱面",10,9.2,9.1,北京菜,5013.0,四季民福烤鸭店(前门大栅栏店),74.2
http://www.dianping.com/shop/102047773,66.0,西三环南路甲27号居然之家体验MALL五层5-205号,9.2,六里桥/丽泽桥,"超人气鱼恋虾,银耳汤,千叶豆腐",10,9.3,9.2,川菜,143.0,鱼恋虾(居然之家体验Mall店),74.185
http://www.dianping.com/shop/92597614,1103.0,团结湖街道团结湖北路甲2号,9.2,朝阳公园/团结湖,"刺身拼盘,蒸鱼梅子天妇罗,蓝鳍金枪鱼大腩",10,9.3,9.2,日本菜,133.0,鮨渔火日本料理,74.177
http://www.dianping.com/shop/97232725,157.0,工人体育场东路15号,9.2,三里屯,"松茸鸡汤锅,雪花肥牛,甲丁拌菜",10,9.3,9.2,火锅,127.0,甲丁红街坊,74.173
http://www.dianping.com/shop/108318971,128.0,百子湾路水南庄公交车站旁,9.2,百子湾,"五花肉,黑啤,香菜牛肉",10,9.3,9.2,烧烤,117.0,穿云燕烧肉酒馆,74.165
http://www.dianping.com/shop/6347076,114.0,北三环西路甲18号大钟寺中坤广场E座5层,9.2,大钟寺,"阿根廷红虾,精品肥牛,捞派毛肚",10,9.2,9.2,火锅,2833.0,海底捞火锅(大钟寺店),74.058
http://www.dianping.com/shop/76843079,143.0,东安门大街53号万程华府酒店1楼,9.2,王府井/东单,"特选酥香嫩烤鸭,巧拌豆苗,贝勒烤肉",10,9.2,9.2,北京菜,2696.0,四季民福烤鸭店(王府井店),73.953
http://www.dianping.com/shop/97423209,127.0,杏石口路80号,9.2,四季青,"嫩牛肉,王府赌场毛肚,虾滑",10,9.2,9.3,火锅,691.0,凤王府成都火锅,73.944
http://www.dianping.com/shop/22736042,59.0,方庄体育公园东门停车楼一层,9.2,方庄,"意式罗勒披萨,榴莲多多比萨,金枪鱼之爱比萨",10,9.2,9.2,西餐,2589.0,比萨到PizzaNow(方庄店),73.871
http://www.dianping.com/shop/3329467,120.0,北洼路4号苏宁电器一至四层,9.2,紫竹桥,"捞派滑牛肉,鸳鸯锅,冻虾",10,9.2,9.1,火锅,4574.0,海底捞火锅(紫竹桥店),73.863
http://www.dianping.com/shop/98428277,110.0,仓上街10号,9.2,顺义,"极品鲜毛肚,现炸酥肉,鲜鸭血",10,9.2,9.3,火锅,366.0,小龙人老火锅,73.695
http://www.dianping.com/shop/101969671,143.0,西大望路15号院外企大厦D座首层,9.2,大望路,"霜降和牛寿喜烧,寿喜烧蘸料鸡蛋,黑毛和牛寿喜烧",10,9.2,9.3,日本菜,209.0,喜牛屋和牛寿喜烧(西大望路店),73.575
http://www.dianping.com/shop/92550800,110.0,北七家镇立汤路60号院36号楼一层,9.2,北七家,煎饼,10,9.2,9.3,水果生鲜,123.0,果蔬好,73.509
http://www.dianping.com/shop/507576,119.0,朝阳门外大街8号蓝岛大厦东区六层,9.1,朝外大街,"手切鲜羊肉,芝麻烧饼,冻羊肉",10,9.2,9.1,火锅,18002.0,满福楼,73.441
http://www.dianping.com/shop/95202045,767.0,工人体育场西路6号,9.2,三里屯,"限量和牛拼盘,盐葱牛舌,M9澳洲和牛沙朗牛排",10,9.4,9.0,日本菜,206.0,倔强燒肉專門店,73.365
http://www.dianping.com/shop/96677684,167.0,工体东路工人体育场东门进辅路向南100米小东门内,9.2,三里屯,"酥香嫩烤鸭,杏仁豆腐,巧拌豆苗",10,9.1,9.3,北京菜,2645.0,四季民福烤鸭店(工体店),73.253
http://www.dianping.com/shop/19428531,129.0,杨庄北里天时明苑小区14号楼北京华联天时名苑购物中心2F,9.2,新华大街,"阿根廷红虾,捞派毛肚,海底捞面",10,9.2,9.2,火锅,1724.0,海底捞火锅(通州华联店),73.208
http://www.dianping.com/shop/17892548,120.0,新顺南大街8号BHGMall5层,9.2,顺义,"招牌虾滑,捞派澳洲肥牛,海底捞小料",10,9.2,9.2,火锅,1265.0,海底捞火锅(BHGMall店),72.856
http://www.dianping.com/shop/110272039,271.0,新东路幸福二村39-9号,9.2,三里屯,"惠灵顿牛排,椰奶鸡肉芝麻菜沙拉,山核桃菲力牛排",10,9.3,9.1,西餐,321.0,麦牛排 Mai Steakhouse,72.793
http://www.dianping.com/shop/18585748,118.0,石景山路乙18号万达广场C栋四层,9.2,鲁谷,"鲜滑虾,捞派澳洲肥牛,番茄锅底",10,9.2,9.2,火锅,1156.0,海底捞火锅(石景山万达店),72.772
http://www.dianping.com/shop/90605025,465.0,麦子店西街39号部落方舟,9.2,亮马桥/三元桥,"手握寿司,星鳗鹅肝饭,和牛海胆",10,9.3,9.1,日本菜,258.0,青久日料(亮马桥店),72.745
http://www.dianping.com/shop/56540115,103.0,永安路永安电脑城二层,9.2,昌平镇,"现穿羊肉大串,精品牛排串,蜜汁鸡翅",10,9.2,9.2,烧烤,1101.0,丰茂烤串(昌平店),72.73
http://www.dianping.com/shop/5467662,109.0,西直门北大街32号枫蓝国际购物中心3层,9.2,北下关,"捞派澳洲肥牛,招牌虾滑,捞派捞面",10,9.2,9.1,火锅,3047.0,海底捞火锅(枫蓝国际购物中心店),72.693
http://www.dianping.com/shop/510377,140.0,灯市口西街32号东华饭店1楼,9.2,王府井/东单,"烤鸭蘸酱,巧拌豆苗,贝勒烤肉",10,9.1,8.9,北京菜,9870.0,四季民福烤鸭店(灯市口店),72.676
http://www.dianping.com/shop/5279332,1500.0,钱粮胡同东口16-2号,9.2,东四,"北海道海胆刺身,顶级金枪鱼大腩,鱼生",10,9.2,9.2,日本菜,772.0,然寿司(钱粮胡同店),72.478
http://www.dianping.com/shop/70783728,259.0,工人体育场北路三里屯SOHO·A座707室,9.2,三里屯,"小粉红慕斯蛋糕,熊宝宝草莓慕斯蛋糕,小粉红草莓慕斯蛋糕",10,9.2,9.2,面包甜点,715.0,法兰之吻蛋糕(三里屯店),72.434
http://www.dianping.com/shop/6232395,254.0,工人体育场东路丙2号中国红街3号楼2层里,9.2,三里屯,"初始的元贝粥底,鬼马酿油条,手打鲜虾滑",10,9.2,9.0,火锅,4675.0,珍滋味港式粥火锅(工体店),72.413
http://www.dianping.com/shop/37772086,487.0,府学胡同东口十米,9.2,东四,"鹅肝寿司,海胆,星鳗寿司",10,9.2,9.2,日本菜,595.0,凤寿司,72.342
http://www.dianping.com/shop/32590961,123.0,崇文门外大街3-5号新世界百货综合馆5层,9.2,崇文门,"鲜滑虾,番茄锅底,海底捞自助调料",10,9.2,9.1,火锅,2410.0,海底捞火锅(崇文门新世界百货店),72.205
http://www.dianping.com/shop/101993531,113.0,回龙观西大街111号北京华联回龙观购物中心三层3F-12,9.2,回龙观,"番茄锅底,招牌虾滑,捞派滑牛肉",10,9.2,9.2,火锅,397.0,海底捞火锅(回龙观店),72.191
http://www.dianping.com/shop/5618484,619.0,五道营胡同2号,9.1,雍和宫/地坛,"糖醋藕小排,金刚沙豆腐,百菇卤味饭",10,9.3,9.4,素菜,7531.0,京兆尹,72.19
http://www.dianping.com/shop/97091248,80.0,东方东路19号1号楼会所41号,9.2,亮马桥/三元桥,"自选沙拉,煎挪威三文鱼,藜麦三文鱼饭",10,9.2,9.2,西餐,368.0,Green Option 应季有机餐厅(官舍店),72.169
http://www.dianping.com/shop/91984991,607.0,慧忠路亚运村安慧里2区4号楼,9.2,亚运村,"鹅肝寿司,海胆,加吉鱼酸吃",10,9.2,9.2,日本菜,306.0,本格寿司(亚运村店),72.121
